genotype,n_sam_images,sam_pan_L,sam_leaf_L_mean,sam_leaf_l_mean,sam_leaf_A_mean,sam_angle_mean,n_reps,fresh_biom_mean,dry_biom_mean,fresh_pan_mean,dry_pan_mean,seed_yield_mean,seed_yield_sd,n_lidar,lidar_pan_L,lidar_pan_L_sd,lidar_pan_L_min,lidar_pan_L_max,has_lidar,data_sources,pct_visible
FAOUROU,8,5.7603333333333335,17.56396,7.628,25.974844,55.472,4,14.9382,4.4455,1.2788,1.1698,0.6342,0.1472,4,21.695,3.047,18.79,24.47,TRUE,SAM + LiDAR + Yield,26.6
GOLOBE,4,6.6565,13.07875,3.060892857142857,14.126482142857142,55.285714285714285,4,15.9245,4.8722,0.9398,0.8827,0.2985,0.3553,2,22.26,5.614,18.29,26.23,TRUE,SAM + LiDAR + Yield,29.9
ICRS14001,3,5.844,15.882857142857143,7.1165,29.693778571428574,29.971428571428575,4,19.3923,5.6892,1.5945,1.2995,0.7368,0.2752,3,20.21,4.136,16.7,24.77,TRUE,SAM + LiDAR + Yield,28.9
ICSV745,6,5.4831666666666665,22.873791666666666,8.165791666666667,26.37680416666667,54.44583333333333,4,11.0782,2.5992,1.6015,1.3053,0.84,0.3123,3,19.07,0.827,18.39,19.99,TRUE,SAM + LiDAR + Yield,28.8
NGANDA,4,7.2115,25.340142857142858,8.097428571428571,16.284914285714287,62.128571428571426,4,14.5605,4.257,0.9272,0.8352,0.3512,0.1266,4,25.003,1.671,22.87,26.45,TRUE,SAM + LiDAR + Yield,28.8
NGUINTH,11,6.747272727272727,13.97004081632653,3.649673469387755,19.406508163265308,61.2530612244898,4,14.0255,4.2998,1.3282,1.201,0.628,0.2935,1,27.42,NA,27.42,27.42,TRUE,SAM + LiDAR + Yield,24.6
PAYENNE,7,6.835571428571429,15.30135294117647,2.894029411764706,19.69104705882353,58.726470588235294,4,14.9315,3.2635,0.5028,0.4608,0.1098,0.0486,2,26,1.556,24.9,27.1,TRUE,SAM + LiDAR + Yield,26.3
S35,2,4.5795,13.256555555555556,1.767111111111111,10.536266666666666,56.455555555555556,4,16.0392,4.7228,1.2655,1.1205,0.6527,0.3054,2,18.485,3.033,16.34,20.63,TRUE,SAM + LiDAR + Yield,24.8
